model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,0.8079,8.9484,2944.4733284701606,5892.946656940321,1.2152942403880664,5.569298194623776
weibull,0.6682,8.4891,2944.4733284703498,5892.9466569406995,1.2152944278328088,5.56929642214075
weibull,0.4024,5.2211,2944.4733284695667,5892.946656939133,1.2152945214484336,5.569298462428133
weibull,1.9131,7.6399,2944.473328469826,5892.946656939652,1.21529465184765,5.569297049045861
weibull,1.7145,13.9182,2944.4733284701897,5892.946656940379,1.215294553929428,5.569296425449338
weibull,1.3618,12.8765,2944.4733284692393,5892.946656938479,1.21529541423813,5.569298319908662
weibull,1.4988,9.5189,2944.473328469632,5892.946656939264,1.2152950984029895,5.569297078084156
weibull,1.4519,3.3046,2944.473328469614,5892.946656939228,1.2152945167707625,5.5692983723961955
weibull,0.3752,5.837,2944.4733284679555,5892.946656935911,1.2152954875187392,5.569305334857875
weibull,1.8784,10.9737,2944.473328469478,5892.946656938956,1.215294597295164,5.569298444721914
weibull,0.616,11.8222,2944.4733284693602,5892.9466569387205,1.2152952772620902,5.569297836861315
weibull,1.9421,5.6585,2944.4733284721183,5892.946656944237,1.2152940143607107,5.5692938467017425
weibull,2.1572,14.8607,2944.4733284696217,5892.946656939243,1.2152944642473362,5.56929870861833
weibull,2.4168,3.833,17976931348623157e292,Inf,2.4168,3.8329999999999997
weibull,0.9512,9.3476,2944.473328470123,5892.946656940246,1.2152947262051454,5.569296132916783
weibull,1.6026,10.0367,2944.473328471395,5892.94665694279,1.215293824635034,5.569297395713335
weibull,0.3684,7.9269,2944.4733284694858,5892.9466569389715,1.21529442460656,5.569299577195827
weibull,0.8974,0.2882,2944.473328469549,5892.946656939098,1.2152947854911846,5.569297664373831
weibull,2.3777,5.8178,17976931348623157e292,Inf,2.3777,5.8178
weibull,2.418,1.7671,17976931348623157e292,Inf,2.418,1.7671
weibull,1.4702,4.1703,2944.473328469334,5892.946656938668,1.2152945957576688,5.569299028872234
weibull,2.0568,3.221,17976931348623157e292,Inf,2.0568,3.221
weibull,2.1068,4.7419,17976931348623157e292,Inf,2.1068,4.7419
weibull,2.1759,4.3314,17976931348623157e292,Inf,2.1759,4.3314
weibull,2.3974,14.647,2944.4733284688145,5892.946656937629,1.2152949756437155,5.569299576781966
weibull,2.5465,3.3981,17976931348623157e292,Inf,2.5465,3.3981
weibull,1.133,8.3496,2944.473328469592,5892.946656939184,1.2152945746311827,5.569298138924523
weibull,2.535,8.4745,17976931348623157e292,Inf,2.535,8.4745
weibull,1.2401,10.6914,2944.473328470658,5892.946656941316,1.215294189739567,5.569296734297039
weibull,1.636,6.96,2944.473328471319,5892.946656942638,1.215294342485058,5.569294331968248
weibull,1.0293,11.2262,2944.473328469604,5892.946656939208,1.2152944487695574,5.569298837083707
weibull,1.1935,8.4108,2944.4733284695044,5892.946656939009,1.2152945512903799,5.569298570167573
weibull,2.0781,12.9709,2944.4733284699055,5892.946656939811,1.2152943281515405,5.569298398828095
weibull,1.1365,8.4198,2944.473328469581,5892.946656939162,1.2152945668852644,5.569298226917935
weibull,1.9557,5.6688,2944.4733284711538,5892.9466569423075,1.2152941379639848,5.569295555938458
weibull,1.7027,8.3232,2944.4733284701756,5892.946656940351,1.2152941302662317,5.569299238358639
weibull,2.457,12.7461,2944.473328470871,5892.946656941742,1.2152943255021467,5.56929541768283
weibull,0.5154,1.6646,2944.473328469399,5892.946656938798,1.215294596081028,5.569298851787933
weibull,1.9118,0.2701,17976931348623157e292,Inf,1.9118,0.2701
weibull,1.473,10.9669,2944.4733284695717,5892.946656939143,1.2152945272098317,5.56929847410219
weibull,2.6935,6.8711,17976931348623157e292,Inf,2.6935,6.871099999999999
weibull,1.8729,12.8731,2944.4733284693757,5892.946656938751,1.215294624135761,5.5692987091836494
weibull,0.9254,5.4395,2944.473328469413,5892.946656938826,1.2152945815443785,5.569298793929495
weibull,0.2551,0.7151,2944.473328469426,5892.946656938852,1.215294642829723,5.569298447642446
weibull,2.0667,8.1807,2944.473328472338,5892.946656944676,1.2152940936124843,5.569293036396614
weibull,2.6554,5.3548,17976931348623157e292,Inf,2.6554,5.3548
weibull,1.5424,12.5076,2944.473328468681,5892.946656937362,1.2152947371394935,5.569301586535917
