model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,1.3021 _ 0.1383,0.7433 _ 2.5956,2700.195762790692,5414.391525581384,1.0546938150531417,14.445864805125415,2.0538574323170926,4.70753036696694
weibull,1.5797 _ 0.4492,10.9092 _ 3.9877,2700.1957607546387,5414.3915215092775,1.0546967478284948,14.446134592033678,2.0538525699470886,4.707534998224854
weibull,0.3434 _ 2.1608,11.3745 _ 4.4816,2700.195760242528,5414.391520485056,1.054692714431732,14.445781088496009,2.053857264770057,4.707531596674629
weibull,1.353 _ 2.6525,2.979 _ 14.0934,2700.195763953967,5414.391527907934,2.053856383289509,4.707529947474841,1.0546985910785458,14.446000880813546
weibull,0.6485 _ 0.4963,3.0148 _ 3.66,2700.195762151976,5414.391524303952,2.0538604093345474,4.70752538524629,1.0546933832249332,14.445637094051037
weibull,1.3274 _ 1.5756,2.2174 _ 10.3288,2700.1957622505447,5414.391524501089,2.05385182137856,4.707537343938344,1.054692872193297,14.446005117988788
weibull,1.3942 _ 0.609,5.0194 _ 8.9022,2700.195762565012,5414.391525130024,2.053854302485217,4.70753300641993,1.0546953498331013,14.446023765643046
weibull,1.4302 _ 1.4608,6.5909 _ 3.8746,2700.1957600756873,5414.391520151375,1.0546927672024076,14.445889644204788,2.0538522619287467,4.707532575104257
weibull,2.4994 _ 1.1012,5.8399 _ 14.4591,2700.1957676867173,5414.391535373435,2.053854020102514,4.707536737751553,1.0547006964964638,14.446176380057183
weibull,2.2187 _ 1.8242,5.8897 _ 5.2055,2700.195759439277,5414.391518878554,2.053856268698432,4.707531491324528,1.0546973641810613,14.44597470627003
weibull,1.185 _ 1.1513,0.6591 _ 4.3126,2700.19576013388,5414.39152026776,1.0547025118661535,14.446198932720367,2.0538516724003437,4.707535808412519
weibull,0.3473 _ 0.0546,14.5234 _ 2.8711,2700.195763199477,5414.391526398954,2.0538533276718933,4.707535096007951,1.0547063370111485,14.446150356000546
weibull,2.6656 _ 1.5569,1.2872 _ 5.6378,2700.1957595868275,5414.391519173655,2.0538561497503203,4.707531829928076,1.0546970777827789,14.445972995171628
weibull,1.0767 _ 0.1251,1.302 _ 11.391,2700.195761299795,5414.39152259959,1.0546945352967967,14.445998651935561,2.0538549749087642,4.70753377075108
weibull,2.0873 _ 0.5313,0.9502 _ 8.488,2700.1957640036344,5414.391528007269,2.053856612096993,4.707530789840028,1.0547010279959173,14.445999775476757
weibull,2.2027 _ 1.2626,5.7678 _ 9.1084,2700.1957601302274,5414.391520260455,2.053855931264439,4.707532916635994,1.0546954263023225,14.445886187905398
weibull,0.325 _ 0.2399,8.1277 _ 1.0799,2700.1957620555927,5414.391524111185,2.053859333451329,4.707532343081073,1.054696032534663,14.445939642226609
weibull,0.029 _ 0.3318,12.854 _ 14.6947,2700.1957596869315,5414.391519373863,1.054697090367124,14.445992280149467,2.053854083618012,4.707534340130097
weibull,0.4079 _ 1.3467,12.7291 _ 14.9082,2700.1957604319423,5414.391520863885,2.0538615178777455,4.707525438828485,1.0547018998624587,14.44595256804244
