model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,1.6361,3.4437,1721.752844395713,3447.505688791426,1.161936941928339,6.34850647823509
weibull,1.5487,11.3657,1721.7528443934793,3447.5056887869587,1.1619376682395637,6.348514124644141
weibull,0.3528,2.9223,1721.7528443934218,3447.5056887868436,1.1619376644978043,6.348514594390574
weibull,0.683,6.8062,1721.7528443943231,3447.5056887886462,1.161937045648065,6.348512948818434
weibull,0.8562,4.8096,1721.7528443930578,3447.5056887861156,1.161938591219436,6.348516408157777
weibull,2.5418,0.3941,17976931348623157e292,Inf,2.5418,0.3941
weibull,1.618,9.3929,1721.752844393783,3447.505688787566,1.1619374298431637,6.348513369624626
weibull,1.2,10.2733,1721.752844393881,3447.505688787762,1.1619385211034385,6.348511849327039
weibull,0.4667,11.5025,1721.7528443934914,3447.505688786983,1.1619375606167983,6.348514741222403
weibull,1.6507,10.7598,1721.7528443935548,3447.5056887871096,1.1619375852614442,6.348514056559502
weibull,2.1201,6.2865,1721.7528443937476,3447.5056887874953,1.1619374902194262,6.348513289062478
weibull,1.5006,0.7124,17976931348623157e292,Inf,1.5006,0.7124
weibull,0.1666,13.6927,1721.7528443931292,3447.5056887862584,1.1619377373749216,6.348516747149945
weibull,0.6069,2.4596,1721.752844393203,3447.505688786406,1.1619378078667753,6.348515583726258
weibull,2.4442,0.1973,17976931348623157e292,Inf,2.4442,0.1973
weibull,0.7242,3.7868,1721.7528443951514,3447.505688790303,1.1619373150851164,6.3485071041199435
weibull,0.8739,10.0305,1721.752844393674,3447.505688787348,1.1619375337577127,6.348513481250903
weibull,2.0208,10.09,1721.7528443938231,3447.5056887876462,1.1619374266900955,6.348513152607617
weibull,0.5863,7.6899,1721.752844393587,3447.505688787174,1.161938000747585,6.348512578471801
weibull,1.4427,4.3773,1721.7528443925828,3447.5056887851656,1.1619383845113207,6.348521546464992
weibull,1.0109,12.3234,1721.7528443944698,3447.5056887889396,1.1619367939396763,6.34851743153827
weibull,2.4205,10.8813,1721.7528443939345,3447.505688787869,1.1619374382087793,6.348512341167838
weibull,0.7825,8.763,1721.7528443934495,3447.505688786899,1.1619375877988287,6.348514856857903
weibull,0.3567,10.5592,1721.7528443947701,3447.5056887895403,1.161936856861418,6.34851191932276
weibull,1.6787,6.8285,1721.7528443935498,3447.5056887870996,1.161937530714006,6.3485144614473406
weibull,1.6269,5.8968,1721.752844393539,3447.505688787078,1.161937538392674,6.348514494141197
weibull,0.3496,11.7427,1721.7528443935125,3447.505688787025,1.1619375306324522,6.3485147691263775
weibull,2.1523,2.2172,17976931348623157e292,Inf,2.1523,2.2172
weibull,1.6056,8.9832,1721.7528443937176,3447.5056887874352,1.1619374518986076,6.34851365171213
weibull,0.2902,14.9565,1721.7528443928804,3447.505688785761,1.1619379001269454,6.348518617194965
weibull,2.5798,10.3962,1721.7528443936415,3447.505688787283,1.161937434499992,6.348514524880913
weibull,2.6101,0.5957,17976931348623157e292,Inf,2.6101,0.5957
weibull,1.4646,8.0827,1721.7528443935016,3447.5056887870032,1.1619375996955266,6.3485143198687535
