model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,0.7504,2.0732,1169.8179795557696,2343.6359591115393,1.4720419986185622,4.663400568063677
weibull,2.2379,3.5726,1169.8179795558597,2343.6359591117193,1.472041904396563,4.66340033057793
weibull,2.0038,9.7419,1169.8179795557296,2343.635959111459,1.472042059139027,4.663400640157965
weibull,1.2877,2.6283,1169.8179795560152,2343.6359591120304,1.472041689650263,4.6634001929168525
weibull,1.3662,2.1673,1169.8179795557696,2343.6359591115393,1.4720419933038411,4.663400609435058
weibull,1.8363,1.2557,1169.817979555906,2343.635959111812,1.4720419024095799,4.663400108657253
weibull,0.3583,12.4164,1169.817979555895,2343.63595911179,1.4720421790421299,4.663399654192968
weibull,1.6125,10.1611,1169.8179795555686,2343.6359591111373,1.472042140621906,4.663401382611455
weibull,2.4594,2.449,17976931348623157e292,Inf,2.4594,2.449
weibull,0.907,6.9161,1169.8179795550209,2343.6359591100418,1.4720432164601134,4.663405665840034
weibull,1.5162,0.8919,1169.8179795558067,2343.6359591116134,1.4720419836467562,4.663400442606691
weibull,0.3731,4.9941,1169.817979555817,2343.635959111634,1.4720419383226357,4.6634004829702445
weibull,2.4695,11.2905,1169.8179795559279,2343.6359591118558,1.4720419140173595,4.663399991377788
weibull,0.4146,6.39,1169.8179795556498,2343.6359591112996,1.4720420547125161,4.663401134375287
weibull,1.7541,8.2834,1169.817979556025,2343.63595911205,1.4720414769332368,4.663401190657377
weibull,0.6628,14.8234,1169.8179795550263,2343.6359591100527,1.472043245718505,4.663405784985162
weibull,1.4527,4.334,1169.8179795558742,2343.6359591117484,1.4720419478987103,4.663400173265716
weibull,0.9112,0.5391,1169.8179795550273,2343.6359591100545,1.47204321091937,4.663405172044221
weibull,2.0257,6.9164,1169.817979555847,2343.635959111694,1.4720418411153744,4.663400624186636
weibull,1.1924,0.3218,1169.8179795560845,2343.635959112169,1.4720419846147497,4.6633991586103365
weibull,0.2303,5.1395,1169.8179795555416,2343.635959111083,1.4720423661456778,4.663401099958959
weibull,1.8659,8.6372,1169.817979555806,2343.635959111612,1.4720418295787978,4.6634008969487475
weibull,0.2315,8.0816,1169.8179795556605,2343.635959111321,1.4720423153203148,4.663400526703308
weibull,1.9695,9.7419,1169.8179795556678,2343.6359591113355,1.4720421465775815,4.663400783950047
weibull,2.5235,6.2978,1169.817979555841,2343.635959111682,1.4720419400538969,4.663400346191041
weibull,1.5975,10.533,1169.8179795554697,2343.6359591109394,1.4720432244957247,4.66340142978539
weibull,2.4597,4.6843,1169.8179795559902,2343.6359591119804,1.472041950432225,4.663399603408497
weibull,1.194,13.6054,1169.8179795561275,2343.635959112255,1.4720416786811403,4.6633996352121665
weibull,1.3184,10.3323,1169.8179795556946,2343.635959111389,1.4720419958625754,4.663401044827826
weibull,0.1907,1.0914,1169.817979555961,2343.635959111922,1.4720417623689643,4.6634002559881464
weibull,1.888,11.9501,1169.8179795557237,2343.6359591114474,1.4720421452071393,4.663400489111121
weibull,0.1862,11.3234,1169.8179795557658,2343.6359591115315,1.4720421176292486,4.663400340362791
weibull,0.3683,6.8947,1169.8179795555811,2343.6359591111623,1.4720420928059523,4.663401481527914
weibull,0.6115,5.3254,1169.817979555786,2343.635959111572,1.472041987141788,4.663400531585451
weibull,2.2086,1.1075,17976931348623157e292,Inf,2.2086,1.1075
weibull,1.2521,12.6615,1169.8179795555477,2343.6359591110954,1.4720422331934644,4.6634013128697145
weibull,1.4355,9.4163,1169.817979555752,2343.635959111504,1.4720419843758041,4.663400728294273
weibull,1.0961,5.2783,1169.817979555773,2343.635959111546,1.47204199383571,4.6634005663018
weibull,2.065,7.2776,1169.8179795560313,2343.6359591120627,1.4720416049383305,4.6634004307715395
weibull,1.4671,9.0688,1169.8179795556423,2343.6359591112846,1.472042166963719,4.66340088823492
weibull,2.0047,13.1118,1169.8179795563888,2343.6359591127775,1.4720414736818654,4.663399086575009
