model,prior_par0_st1_st2,prior_par1_st1_st2,minNegLike,AIC_model,st1_par0,st1_par1,st2_par0,st2_par1
weibull,1.4233 _ 0.1195,3.0164 _ 19.669,1571.2178996285465,3156.435799257093,1.9605946356767125,5.465404313404652,0.9737113300909659,21.249866306975594
weibull,9.6085 _ 24.4399,20.1486 _ 22.6558,17976931348623157e292,Inf,9.6085,20.1486,24.4399,22.655800000000003
weibull,35.0974 _ 29.3276,1.5139 _ 16.6113,17976931348623157e292,Inf,35.0974,1.5139,29.3276,16.6113
weibull,39.2878 _ 27.1851,4.2166 _ 1.2333,17976931348623157e292,Inf,39.2878,4.2166,27.185099999999995,1.2333
weibull,24.0532 _ 6.2105,7.8705 _ 13.1465,17976931348623157e292,Inf,24.0532,7.8705,6.210500000000001,13.146500000000001
weibull,27.8136 _ 11.8928,2.675 _ 5.2424,17976931348623157e292,Inf,27.813599999999997,2.675,11.892799999999998,5.2424
weibull,24.3052 _ 13.709,11.2 _ 7.0066,17976931348623157e292,Inf,24.305200000000003,11.199999999999998,13.708999999999998,7.006600000000001
weibull,33.5041 _ 13.4506,19.9432 _ 5.7802,17976931348623157e292,Inf,33.50410000000001,19.9432,13.450600000000001,5.780199999999999
weibull,34.5763 _ 26.242,6.7761 _ 20.1404,17976931348623157e292,Inf,34.5763,6.776099999999999,26.241999999999997,20.1404
weibull,32.2477 _ 18.4077,21.3141 _ 5.1335,17976931348623157e292,Inf,32.2477,21.314100000000003,18.4077,5.133500000000001
weibull,20.9038 _ 16.1603,0.9911 _ 18.4573,17976931348623157e292,Inf,20.903800000000004,0.9911,16.160299999999996,18.457299999999996
weibull,30.1031 _ 17.4781,8.7187 _ 9.1921,17976931348623157e292,Inf,30.103100000000005,8.718700000000002,17.478100000000005,9.1921
weibull,3.0529 _ 30.2787,20.6896 _ 13.0698,1721.7528454814446,3457.5056909628893,1.1619365020479737,6.348511476179918,3.505393085035546,9.105002762952841
weibull,14.0205 _ 20.5422,12.8292 _ 8.9383,17976931348623157e292,Inf,14.020499999999998,12.829200000000002,20.5422,8.938299999999998
weibull,37.7278 _ 23.1615,14.3471 _ 12.8907,17976931348623157e292,Inf,37.7278,14.347099999999998,23.161499999999997,12.8907
