model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,0.23,13.6029,1169.817979555806,2343.635959111612,1.4720419753859222,4.66340043786765
weibull,1.9333,11.5047,1169.8179795557628,2343.6359591115256,1.4720420508101475,4.6634005028483045
weibull,0.2985,8.6791,1169.8179795558729,2343.6359591117457,1.4720419356440386,4.6634002003326405
weibull,0.9179,10.8486,1169.8179795557123,2343.6359591114247,1.4720420124954734,4.663400854369701
weibull,1.1941,11.3988,1169.8179795557926,2343.635959111585,1.4720421732645421,4.663400111345616
weibull,1.7627,10.1795,1169.8179795558365,2343.635959111673,1.4720419441249801,4.663400365796727
weibull,1.0557,4.3388,1169.8179795550418,2343.6359591100836,1.4720432852113035,4.663404796453305
weibull,0.8587,1.6145,1169.8179795557237,2343.6359591114474,1.4720420318147784,4.663400752003266
weibull,1.1941,7.7802,1169.817979555781,2343.635959111562,1.472041992017499,4.663400536318069
weibull,1.1106,11.2364,1169.8179795574745,2343.635959114949,1.4720408351883245,4.663397011841415
weibull,0.4813,13.4744,1169.8179795556402,2343.6359591112805,1.4720421196988067,4.663401017346936
weibull,0.1869,3.0221,1169.8179795557846,2343.6359591115693,1.4720419787030061,4.663400531791255
weibull,0.6165,5.5383,1169.817979555778,2343.635959111556,1.47204198318688,4.663400595800375
weibull,2.2631,13.0625,1169.8179795556507,2343.6359591113014,1.4720422767431973,4.6634006360360685
weibull,1.427,12.145,1169.8179795553506,2343.635959110701,1.4720422674904368,4.663402801310884
weibull,2.2434,13.389,1169.8179795557514,2343.635959111503,1.4720421590958401,4.663400337495355
weibull,1.4619,7.6359,1169.8179795557812,2343.6359591115624,1.4720419928184365,4.663400546544445
weibull,0.2001,0.6059,1169.817979555873,2343.635959111746,1.4720421402636537,4.663399811563665
weibull,0.2857,12.14,1169.8179795556453,2343.6359591112905,1.4720420706958262,4.663401118277367
weibull,2.2841,8.6359,1169.8179795556753,2343.6359591113505,1.4720420398148621,4.663401026011849
weibull,2.2918,6.765,1169.81797955534,2343.63595911068,1.472042295824169,4.6634027484326595
weibull,1.2969,2.0488,1169.8179795561357,2343.6359591122714,1.4720417436150675,4.6633994384960795
weibull,2.363,13.5859,1169.8179795557041,2343.6359591114083,1.4720420773181822,4.663400731160833
weibull,2.6109,6.5805,1169.8179795567276,2343.635959113455,1.4720411373678137,4.6633987966538
weibull,0.34,3.9106,1169.8179795557498,2343.6359591114997,1.4720419855230342,4.663400719543277
weibull,1.3416,14.121,1169.8179795557428,2343.6359591114856,1.472042028333211,4.663400669579273
weibull,1.6668,1.9038,1169.8179795557878,2343.6359591115756,1.4720419826645923,4.663400530013217
weibull,1.2008,3.6316,1169.8179795557762,2343.6359591115524,1.472041984421141,4.663400567408148
weibull,2.3306,14.5511,1169.817979555542,2343.635959111084,1.4720420253137134,4.6634020777126874
weibull,2.5732,10.5529,1169.8179795552749,2343.6359591105497,1.4720431485321872,4.663402410466964
weibull,0.3626,7.6982,1169.8179795565852,2343.6359591131704,1.4720414031131661,4.663398482299655
weibull,2.2933,3.0791,1169.817979555789,2343.635959111578,1.4720420091422894,4.663400445462151
weibull,0.482,9.8743,1169.817979555794,2343.635959111588,1.4720419944845624,4.663400438709459
weibull,2.1616,5.0727,1169.8179795552269,2343.6359591104538,1.4720426678253435,4.663402797491667
weibull,2.0907,13.905,1169.8179795567992,2343.6359591135983,1.4720408036849675,4.663400582912753
weibull,2.5961,4.4481,1169.8179795558297,2343.6359591116593,1.4720419859544347,4.663400296267382
weibull,0.7815,11.8813,1169.8179795554347,2343.6359591108694,1.4720421242322694,4.663402611839564
weibull,2.0784,6.6615,1169.8179795556482,2343.6359591112964,1.4720421124232448,4.6634009864055255
weibull,1.3582,14.9248,1169.8179795557799,2343.6359591115597,1.4720420071638745,4.663400511558486
weibull,1.5595,11.2062,1169.8179795557785,2343.635959111557,1.4720419900084645,4.663400555335223
weibull,0.554,11.3988,1169.8179795558428,2343.6359591116857,1.4720415815264067,4.66340210487211
weibull,2.3993,4.8731,1169.8179795559738,2343.6359591119476,1.472041772399201,4.663400128305345
weibull,2.1862,10.7801,1169.8179795558212,2343.6359591116425,1.472041954561179,4.663400434036079
weibull,1.9992,11.5281,1169.8179795557098,2343.6359591114197,1.4720420332714197,4.663400840254821
weibull,2.0232,11.5047,1169.8179795556741,2343.6359591113483,1.4720420697110612,4.663400937752536
weibull,1.674,7.6006,1169.8179795571816,2343.6359591143632,1.472041223081777,4.663396858735583
weibull,0.9285,7.8012,1169.8179795557344,2343.6359591114688,1.472042199595637,4.663400331487649
weibull,1.6135,1.3968,1169.8179795557742,2343.6359591115483,1.4720420002236811,4.6634005738544
weibull,1.2187,2.5129,1169.8179795557016,2343.6359591114033,1.4720420459218122,4.663400844451215
weibull,1.7122,0.4242,17976931348623157e292,Inf,1.7122,0.4242
weibull,1.8635,14.9582,1169.817979555226,2343.635959110452,1.4720429560036787,4.6634026123452585
weibull,0.9506,10.2002,1169.8179795559615,2343.635959111923,1.4720418058230689,4.663400076667138
